voice title,voice description,reference_audio,,SVDQ-Images,mgm_preview_audio,tts_preview_audio,Tags,MGM WER,TTS WER
Sea witch (Middle-aged Female),"An ancient female sea witch with excellent, clear audio quality, whose voice is low, sibilant, and raspy, often with an echoing, watery depth. She speaks at a slow, deliberate pace, drawing out words with a seductive, menacing, and cunning tone.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/16_sea-witch.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_a26b73d5d8d54421b8025cf1f70c91e7.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_36cb749c141f47a996cabd13763ddbfe.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_16_sea-witch_1.mp3,"Middle-aged, Female",,
Time traveler (Middle-aged Female),"A sophisticated middle-aged male time traveler with clear, high-quality audio, whose voice is intelligent, analytical, and often calm and observant. She speaks at a natural, articulate pace, sometimes quick and excited when explaining complex concepts, with a refined, clear accent.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/17_time-traveler.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_8b5eac4c65c547ec908060575b2d6e4a.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_b9a89738505f4bf58ce1b25bd436467b.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_17_time-traveler_1.mp3,"Middle-aged, Female",,
Friendly giant (Senior Male),"An old, friendly male giant with excellent, clear audio quality, whose voice is deep, warm, and gentle, with a soft booming quality. He speaks at a slow, ponderous, and deliberate pace, conveying a kind-hearted and sincere tone.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/18_friendly-giant.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_8ac2d54198564153b1e5492f88e13bcd.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_1c516e0fb0b44ae092cddbff5891f331.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_18_friendly-giant_1.mp3,"Senior, Male",,
Enchanted mirror (Senior Male),"An older male enchanted mirror with crystal clear, resonant, and slightly echoing ethereal audio quality. Its voice is smooth, wise, and impartial, delivered at a measured and deliberate pace, with perfect enunciation, embodying a reflective and often ominous tone.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/19_enchanted-mirror.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_e9020c1326ab4f8094eb0555a92ad2db.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_4084dde4701140b088ae28c6251b2e60.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_19_enchanted-mirror_1.mp3,"Senior, Male",,
Trickster fox (Middle-aged Female),"A middle-aged female trickster fox with clear, crisp audio quality, whose voice is slinky, cunning, and playful, often with a slightly high-pitched and sarcastic edge. He speaks at a fast, quick-witted, and nimble pace, capable of charming and mischievous inflections.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/20_trickster-fox.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_a98a0233c5ba43f19bb000ef202c467b.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_1f16be1f4dd94cd5b9c35f8a422089ae.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_20_trickster-fox_1.mp3,"Middle-aged, Female",,
Pirate captain  (Middle-aged Male),"Excellent audio quality. A middle-aged male pirate captain, whose voice is deep, gravelly, and booming with authority, often punctuated by a hearty laugh. He speaks with a thick, boisterous pirate accent at a generally commanding pace, sometimes slowing for dramatic emphasis or quickening with excitement.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/01_pirate-captain.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_d6d3e49f175c4495a56ae99b41781a19.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_9d47c3b1f67c4298bd67f44e0bd7fe0d.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_01_pirate-captain_1.mp3,"Middle-aged, Male",,
Desert djinn (Senior Male),"An ancient and powerful older male desert djinn, with an ethereal, resonant, and slightly echoing voice that carries immense power. His tone is deep, mesmerizing, and warm, with a subtle exotic quality, speaking at a slow, deliberate, and enchanting pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/02_desert-djinn.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_fc6f12c0a0a34f3dbcbb86ceed2fa9f8.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_d224c233c7e64cd9999f6307cfb50326.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_02_desert-djinn_1.mp3,"Senior, Male",,
Vampire aristocrat (Middle-aged Male),"Impeccable, rich audio quality. A middle-aged male vampire aristocrat, whose voice is smooth, deep, and highly refined, carrying a cultured and seductive tone with a hint of menace. He speaks with a distinguished old-world European accent at a slow, deliberate, and elegantly articulate pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/03_vampire-aristocrat.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_d95f6a51e3ff44bea66153358129671b.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_1772504a6efe41a58b06da7455f26b69.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_03_vampire-aristocrat_1.mp3,"Middle-aged, Male",,
Dwarven blacksmith (Senior Male),"Robust and clear audio quality. An older male dwarven blacksmith, with a deep, booming, and gruff voice, conveying strength and heartiness. He speaks with a thick Scottish accent at a firm and deliberate pace, occasionally enthusiastic.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/04_dwarven-blacksmith.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_0fa5ec6c2b8d4d7d9c0a76a4d1ef425d.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_13242abe98eb4e2ca9df0db0e57cbb18.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_04_dwarven-blacksmith_1.mp3,"Senior, Male",,
Celestial oracle (Middle-aged Female),"A middle-aged  female celestial oracle with ethereal, shimmering, and perfectly clear audio quality. Their voice is pure, serene, and otherworldly, often reverberating gently, delivered at a slow, measured, and prophetic pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/05_celestial-oracle.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_e78a0bc5e18749458a12e970db6f2ca7.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_4e7d91efdaa445da9f6b85772cd49a68.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_05_celestial-oracle_1.mp3,"Middle-aged, Female",,
Clockwork automaton butler (Middle-aged Male),"A clockwork automaton butler with perfectly precise, clear, and slightly metallic middle-aged male audio quality. His voice is a smooth, formal monotone with impeccable enunciation and a refined British accent, speaking at a uniform and deliberate pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/06_clockwork-automaton-butler.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_3a4628f1484647adbe769658f4ff165e.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_12f723b0653c47f69386db64dacdc1ba.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_06_clockwork-automaton-butler_1.mp3,"Middle-aged, Male",,
Haunted librarian (Senior Female),"An older female haunted librarian with a whispering, airy, and slightly echoing voice that sounds muffled and distant. Her tone is soft, melancholic, and eerie, often with a sibilant 'shush,' speaking at a slow, hushed, and drawn-out pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/07_haunted-librarian.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_39fc0326f2464f3b851a98b42af42cd6.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_d7119081173040f5b19885ce78c004e5.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_07_haunted-librarian_1.mp3,"Senior, Female",,
Merfolk ambassador (Middle-aged Female),"A mature female merfolk ambassador with clear, fluid audio quality, resonant with a subtle, underwater quality. Her voice is smooth, elegant, and diplomatic, carrying a mesmerizing and calm tone, delivered at a measured, articulate, and graceful pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/08_merfolk-ambassador.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_d284025b375e490391020ac1a8003aa4.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_ee84b7ee28544c29ba04589e665817c2.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_08_merfolk-ambassador_1.mp3,"Middle-aged, Female",,
Werewolf alpha (Senior Male),"An older  male werewolf alpha, whose voice is deep, raspy, and guttural, often punctuated by a commanding growl. His tone is primal, aggressive, and menacing, delivered at an intense, deliberate pace that can suddenly turn aggressive.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/09_werewolf-alpha.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_f3dbc92e8759412093f25c7a372e45a6.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_436b393b6f9d404e8345d690e9afc96b.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_09_werewolf-alpha_1.mp3,"Senior, Male",,
Frost mage (Middle-aged Female),"A middle-aged female frost mage with crystal-clear, crisp, and slightly chilling audio quality. Her voice is calm, cool, and precise, carrying an elegant and aloof tone, delivered at a measured, controlled, and deliberate pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/10_frost-mage.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_2325a5e91dc349e7b6effd395eaeddbe.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_fef20d85da1c42be9ad77cd4f7886b91.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_10_frost-mage_1.mp3,"Middle-aged, Female",,
Necromancer scholar (Senior Male),"An older male necromancer scholar with clear, slightly dry audio quality, carrying an underlying chill. His voice is low, sibilant, and analytical, often calm but sinister and unfeeling, speaking at a slow, deliberate, and meticulous pace, sometimes quick with arcane knowledge.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/12_necromancer-scholar.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_921d65cec97b429fbe324d8ac1b90b6c.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_8d5ab32882f44330820b27aaea69cdd9.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_12_necromancer-scholar_1.mp3,"Senior, Male",,
Phoenix herald (Middle-aged Male),"A middle-aged  majestic phoenix herald with vibrant, clear, and majestically resonant audio quality, imbued with a warm, glowing quality. Their voice is powerful, inspiring, and pure, yet serene, delivered at a measured, impactful, and soaring pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/13_phoenix-herald.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_52e7d28a6c2c42a59a7743daa15ff8ab.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_b12fe3ce68ae4c86a718aa87538396ca.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_13_phoenix-herald_1.mp3,"Middle-aged, Male",,
Astral navigator (Middle-aged Female),"An ageless, indeterminate gender astral navigator with clear, slightly echoing audio quality, conveying a sense of vastness. Their voice is calm, curious, and wise, often contemplative and detached, delivered at a measured, thoughtful pace, sometimes quick with a discovery.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/14_astral-navigator.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_03ae0630ed7046a8b5dad1c8ea5d64bb.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_04c9101c1d5247a6821c062b1ccf9a1f.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_14_astral-navigator_1.mp3,"Middle-aged, Female",,
Swamp witch ,"An older female swamp witch, whose voice is low, guttural, and raspy, sounding murky and slightly muffled, with subtle natural background noise. Her tone is cackling, menacing, and often sibilant with a drawling, unrefined accent, speaking at a slow, deliberate, and sometimes erratic pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/15_swamp-witch.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_8b42566debce4ab491527e7e6cefa4ba.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_2d3101c2ff704c098ceab1f962d939f3.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_15_swamp-witch_1.mp3,neutral,,
Rune-smith seer (Middle-aged Male),"A middle-aged  male rune-smith seer with resonant, clear, and solid audio quality, carrying an earthy tone. His voice is deep, wise, and gravelly, firm yet contemplative, embodying ancient knowledge, delivered at a slow, deliberate, and ponderous pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/16_rune-smith-seer.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_ddb37e2014b548e9a338e102d5369278.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_5a1b2d45fd014cac830a183dc38dac6c.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_16_rune-smith-seer_1.mp3,"Middle-aged, Male",,
Cursed prince (Middle-aged Male),"A middle-aged  male cursed prince with clear audio quality, yet his voice carries an underlying strain and weariness. His tone is melancholic, brooding, and sometimes tinged with anger or desperation, speaking with a refined, aristocratic accent at a slow, deliberate pace, occasionally quickening with frustration.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/17_cursed-prince.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_d1e2e07485b84a09b939c20f24ecfde9.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_704b7ef09e4a47a28a0618d2a39ab980.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_17_cursed-prince_1.mp3,"Middle-aged, Male",,
Forest dryad guardian (Senior Female),"An older female forest dryad guardian with ethereal, clear, and organic audio quality, imbued with subtle natural resonance. Her voice is soft, serene, and melodic, conveying a nurturing yet firm and ancient wisdom, delivered at a slow, flowing, and gentle pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/18_forest-dryad-guardian.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_c3c28c376bf143d4ab302c3211305e98.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_a5b5b9867376450583bb30387bc77802.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_18_forest-dryad-guardian_1.mp3,"Senior, Female",,
Goblin engineer (Senior Male),"An older male goblin engineer with high-pitched, tinny, and slightly distorted audio quality. His voice is raspy, cackling, and excitable, reflecting a chaotic and eager disposition, speaking at a fast, erratic, and energetic pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/19_goblin-engineer.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_725dabf74a434fd8b3b48c733fba1a6d.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_0bca3a6e6d8c41178b50e6b2a1fec066.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_19_goblin-engineer_1.mp3,"Senior, Male",,
Shadow court jester (Middle-aged male),"A middle-aged male shadow court jester with clear audio quality, but with a slight, unsettling echo or distortion. His voice is sarcastic, mocking, and gleeful, capable of shifting pitch and tone for comedic or sinister effect, delivered at an erratic, fast, and unpredictable theatrical pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/20_shadow-court-jester.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_c3fdff57476b494b9b1dea2fc1dc76c5.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_e3abdcb7117d42c4b442d912521e574e.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_20_shadow-court-jester_1.mp3,"Middle-aged, male",,
Breaking News Anchor (Middle-aged female),"Excellent studio-quality audio. A clear and authoritative middle-aged female breaking news anchor in her 30s or 40s, delivering urgent and factual reports with a sharp, precise tone and a neutral American accent, maintaining a swift and decisive pacing.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/01_breaking-news-anchor.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_08a7bb005b43498db1a7817b804dfa29.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_c823d0ac84e3461f8fd6d61d4b9ffff8.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_01_breaking-news-anchor_1.mp3,"Middle-aged, female",,
Documentary Narrator (Middle-aged Male),"Impeccable studio-quality audio. A mature middle-aged male documentary narrator, likely in his 50s, possessing a deep, resonant, and calm voice that exudes authority and gravitas. His tone is informative and thoughtful, speaking at a measured, deliberate, and smooth pace with a neutral accent.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/02_documentary-narrator.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_96cc0039f43f4a6eaf6dc4ce2db762ac.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_35bb0958a0b944039beed71a32d60185.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_02_documentary-narrator_1.mp3,"Middle-aged, Male",,
Sports Play-by-Play Announcer (Middle-aged Male),"Perfect studio-quality audio. An energetic middle-aged  male sports play-by-play announcer in his 30s or 40s, with a clear, quick, and enthusiastic voice, delivering high-octane commentary on a fast-paced game. His tone is vibrant and exciting, maintaining a rapid and dynamic pacing with a neutral accent.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/03_sports-play-by-play-announcer.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_a77b1e05c929484e83f063229a4ad8c1.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_e35a7ed54c2d49fda571c97c98d37059.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_03_sports-play-by-play-announcer_1.mp3,"Middle-aged, Male",,
Color Commentator (Middle-aged Male),"Studio-quality audio. A knowledgeable and insightful middle-aged male color commentator in his 40s or 50s, with a warm, conversational, and slightly gruff voice, offering expert analysis during a sports broadcast. He speaks at a natural, engaging pace, providing a clear and considered tone with a neutral accent.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/04_color-commentator.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_69818295bb29423b839a1bcc94a4b391.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_d2e544b8d62644ccad63afb86f801148.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_04_color-commentator_1.mp3,"Middle-aged, Male",,
Business/Markets Commentator (Middle-aged Female),"Impeccable studio-quality audio. A confident middle-aged female business and markets commentator in her 40s, with a clear, intelligent, and authoritative voice. Her tone is analytical and precise, delivering information at a natural, articulate pace with a neutral accent.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/05_business-markets-commentator.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_ab3df2650e6946c18a0111e66b74761e.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_79ea2b21475542afbd5cad6eaaf5a089.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_05_business-markets-commentator_1.mp3,"Middle-aged, Female",,
Technology Explainer (Middle-aged Male),"Crystal-clear studio-quality audio. A middle-aged  male technology explainer, with an enthusiastic, clear, and engaging voice. His tone is friendly and informative, breaking down complex concepts at a brisk, articulate pace with a neutral accent.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/06_technology-explainer.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_c6fd6d1683274ca396e3040b3f839fbb.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_b52692f186254519a688f73bfc768703.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_06_technology-explainer_1.mp3,"Middle-aged, Male",,
