voice title,voice description,reference_audio,preview_image (svdq_fluxdev_fp4),SVDQ-Images,preview_audio (tts_mgm),Tags,MGM WER
Shape-shifter (Middle-aged Male),"A middle-aged male shape-shifter with excellent, adaptable audio quality, capable of smooth tonal transitions. Their core voice is alluring, mysterious, and calm, delivered at a measured and deliberate pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/13_shape-shifter.mp3,https://s3.renderplatform.com/user-assets/preview/gr_ec240ca9302941c5b81c7118170e9a73.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_b84ae5753a5e4c5d9a852853e47fa511.mp3,"Middle-aged, Male",
Troll under a bridge (Senior Male),"An old, male troll under a bridge, whose voice is low, guttural, and gravelly, sounding rough and slightly muffled with reverberation from his dwelling. He speaks at a slow, ponderous, and deliberate pace, embodying a grumpy, booming, and simple-witted menace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/15_troll-under-a-bridge.mp3,https://s3.renderplatform.com/user-assets/preview/gr_528ede4d05f74c47843c9f4e5ea5306b.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_dbba7b82cd644976840ed63afdb74769.mp3,"Senior, Male",
Sea witch (Middle-aged Female),"An ancient female sea witch with excellent, clear audio quality, whose voice is low, sibilant, and raspy, often with an echoing, watery depth. She speaks at a slow, deliberate pace, drawing out words with a seductive, menacing, and cunning tone.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/16_sea-witch.mp3,https://s3.renderplatform.com/user-assets/preview/gr_71592084cdc94a668faec5b7ae2731d0.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_0c49e963551b45f18824191d59fa5ba5.mp3,"Middle-aged, Female",
Time traveler (Middle-aged Female),"A sophisticated middle-aged male time traveler with clear, high-quality audio, whose voice is intelligent, analytical, and often calm and observant. She speaks at a natural, articulate pace, sometimes quick and excited when explaining complex concepts, with a refined, clear accent.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/17_time-traveler.mp3,https://s3.renderplatform.com/user-assets/preview/gr_3c5d116ae7544710b09b0113ab64741e.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_d0254930251640b38ff5344e3f4dfaf1.mp3,"Middle-aged, Female",
Friendly giant (Senior Male),"An old, friendly male giant with excellent, clear audio quality, whose voice is deep, warm, and gentle, with a soft booming quality. He speaks at a slow, ponderous, and deliberate pace, conveying a kind-hearted and sincere tone.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/18_friendly-giant.mp3,https://s3.renderplatform.com/user-assets/preview/gr_bcdea223ab2d4f938b8104fe2572e376.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_9f7ad5322f3e484fa4b8fe56ef0e707a.mp3,"Senior, Male",
Enchanted mirror (Senior Male),"An older male enchanted mirror with crystal clear, resonant, and slightly echoing ethereal audio quality. Its voice is smooth, wise, and impartial, delivered at a measured and deliberate pace, with perfect enunciation, embodying a reflective and often ominous tone.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/19_enchanted-mirror.mp3,https://s3.renderplatform.com/user-assets/preview/gr_899f80e4b3174934a807751c3ff297c8.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_9f26097bd4d74aa6aa0b60816e216b85.mp3,"Senior, Male",
Trickster fox (Middle-aged Female),"A middle-aged female trickster fox with clear, crisp audio quality, whose voice is slinky, cunning, and playful, often with a slightly high-pitched and sarcastic edge. He speaks at a fast, quick-witted, and nimble pace, capable of charming and mischievous inflections.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/20_trickster-fox.mp3,https://s3.renderplatform.com/user-assets/preview/gr_af503b620cf44307a718d5e943846cbd.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_53ad63c81f5c4300924a5b102c7ed98e.mp3,"Middle-aged, Female",
Pirate captain  (Middle-aged Male),"Excellent audio quality. A middle-aged male pirate captain, whose voice is deep, gravelly, and booming with authority, often punctuated by a hearty laugh. He speaks with a thick, boisterous pirate accent at a generally commanding pace, sometimes slowing for dramatic emphasis or quickening with excitement.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/01_pirate-captain.mp3,https://s3.renderplatform.com/user-assets/preview/gr_b6cce5e124b74193aaf9a633ebe97055.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_9d47c3b1f67c4298bd67f44e0bd7fe0d.mp3,"Middle-aged, Male",
Desert djinn (Senior Male),"An ancient and powerful older male desert djinn, with an ethereal, resonant, and slightly echoing voice that carries immense power. His tone is deep, mesmerizing, and warm, with a subtle exotic quality, speaking at a slow, deliberate, and enchanting pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/02_desert-djinn.mp3,https://s3.renderplatform.com/user-assets/preview/gr_156fe43c113e4ab79e79b00e898a0107.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_d224c233c7e64cd9999f6307cfb50326.mp3,"Senior, Male",
Vampire aristocrat (Middle-aged Male),"Impeccable, rich audio quality. A middle-aged male vampire aristocrat, whose voice is smooth, deep, and highly refined, carrying a cultured and seductive tone with a hint of menace. He speaks with a distinguished old-world European accent at a slow, deliberate, and elegantly articulate pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/03_vampire-aristocrat.mp3,https://s3.renderplatform.com/user-assets/preview/gr_0edfe801ac2140dd91144d21337c6951.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_1772504a6efe41a58b06da7455f26b69.mp3,"Middle-aged, Male",
Dwarven blacksmith (Senior Male),"Robust and clear audio quality. An older male dwarven blacksmith, with a deep, booming, and gruff voice, conveying strength and heartiness. He speaks with a thick Scottish accent at a firm and deliberate pace, occasionally enthusiastic.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/04_dwarven-blacksmith.mp3,https://s3.renderplatform.com/user-assets/preview/gr_4e857755042c4efa8a3814b39cc1c0ec.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_13242abe98eb4e2ca9df0db0e57cbb18.mp3,"Senior, Male",
Celestial oracle (Middle-aged Female),"A middle-aged  female celestial oracle with ethereal, shimmering, and perfectly clear audio quality. Their voice is pure, serene, and otherworldly, often reverberating gently, delivered at a slow, measured, and prophetic pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/05_celestial-oracle.mp3,https://s3.renderplatform.com/user-assets/preview/gr_e31a29abf6a040b7acf879193053591b.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_4e7d91efdaa445da9f6b85772cd49a68.mp3,"Middle-aged, Female",
Clockwork automaton butler (Middle-aged Male),"A clockwork automaton butler with perfectly precise, clear, and slightly metallic middle-aged male audio quality. His voice is a smooth, formal monotone with impeccable enunciation and a refined British accent, speaking at a uniform and deliberate pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/06_clockwork-automaton-butler.mp3,https://s3.renderplatform.com/user-assets/preview/gr_5ce7ab4147744b7ebf8420e0e3d121e2.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_12f723b0653c47f69386db64dacdc1ba.mp3,"Middle-aged, Male",
Haunted librarian (Senior Female),"An older female haunted librarian with a whispering, airy, and slightly echoing voice that sounds muffled and distant. Her tone is soft, melancholic, and eerie, often with a sibilant 'shush,' speaking at a slow, hushed, and drawn-out pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/07_haunted-librarian.mp3,https://s3.renderplatform.com/user-assets/preview/gr_8bc90273207d4fe997f07c8c43a98a1c.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_d7119081173040f5b19885ce78c004e5.mp3,"Senior, Female",
Merfolk ambassador (Middle-aged Female),"A mature female merfolk ambassador with clear, fluid audio quality, resonant with a subtle, underwater quality. Her voice is smooth, elegant, and diplomatic, carrying a mesmerizing and calm tone, delivered at a measured, articulate, and graceful pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/08_merfolk-ambassador.mp3,https://s3.renderplatform.com/user-assets/preview/gr_671cf246c941418e860493b7cf9444ee.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_ee84b7ee28544c29ba04589e665817c2.mp3,"Middle-aged, Female",
Werewolf alpha (Senior Male),"An older  male werewolf alpha, whose voice is deep, raspy, and guttural, often punctuated by a commanding growl. His tone is primal, aggressive, and menacing, delivered at an intense, deliberate pace that can suddenly turn aggressive.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/09_werewolf-alpha.mp3,https://s3.renderplatform.com/user-assets/preview/gr_76b7247760584e43b958fb9ac378ca30.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_436b393b6f9d404e8345d690e9afc96b.mp3,"Senior, Male",
Frost mage (Middle-aged Female),"A middle-aged female frost mage with crystal-clear, crisp, and slightly chilling audio quality. Her voice is calm, cool, and precise, carrying an elegant and aloof tone, delivered at a measured, controlled, and deliberate pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/10_frost-mage.mp3,https://s3.renderplatform.com/user-assets/preview/gr_b1934bd867d343c5be3c16aa8b06c65b.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_fef20d85da1c42be9ad77cd4f7886b91.mp3,"Middle-aged, Female",
Necromancer scholar (Senior Male),"An older male necromancer scholar with clear, slightly dry audio quality, carrying an underlying chill. His voice is low, sibilant, and analytical, often calm but sinister and unfeeling, speaking at a slow, deliberate, and meticulous pace, sometimes quick with arcane knowledge.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/12_necromancer-scholar.mp3,https://s3.renderplatform.com/user-assets/preview/gr_761be0f821b24465a36478b4d9e81ee8.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_8d5ab32882f44330820b27aaea69cdd9.mp3,"Senior, Male",
Phoenix herald (Middle-aged Male),"A middle-aged  majestic phoenix herald with vibrant, clear, and majestically resonant audio quality, imbued with a warm, glowing quality. Their voice is powerful, inspiring, and pure, yet serene, delivered at a measured, impactful, and soaring pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/13_phoenix-herald.mp3,https://s3.renderplatform.com/user-assets/preview/gr_069a8058b6be4d2a8a7672af0548bdd4.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_b12fe3ce68ae4c86a718aa87538396ca.mp3,"Middle-aged, Male",
Astral navigator (Middle-aged Female),"An ageless, indeterminate gender astral navigator with clear, slightly echoing audio quality, conveying a sense of vastness. Their voice is calm, curious, and wise, often contemplative and detached, delivered at a measured, thoughtful pace, sometimes quick with a discovery.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/14_astral-navigator.mp3,https://s3.renderplatform.com/user-assets/preview/gr_7347d6f3f32a4fecb2bf6406005ace1e.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_04c9101c1d5247a6821c062b1ccf9a1f.mp3,"Middle-aged, Female",
Swamp witch ,"An older female swamp witch, whose voice is low, guttural, and raspy, sounding murky and slightly muffled, with subtle natural background noise. Her tone is cackling, menacing, and often sibilant with a drawling, unrefined accent, speaking at a slow, deliberate, and sometimes erratic pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/15_swamp-witch.mp3,https://s3.renderplatform.com/user-assets/preview/gr_116450b580e34d32821cf0c06b3dd632.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_2d3101c2ff704c098ceab1f962d939f3.mp3,neutral,
Rune-smith seer (Middle-aged Male),"A middle-aged  male rune-smith seer with resonant, clear, and solid audio quality, carrying an earthy tone. His voice is deep, wise, and gravelly, firm yet contemplative, embodying ancient knowledge, delivered at a slow, deliberate, and ponderous pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/16_rune-smith-seer.mp3,https://s3.renderplatform.com/user-assets/preview/gr_9e881659dc514a3f96f278044c826c7a.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_5a1b2d45fd014cac830a183dc38dac6c.mp3,"Middle-aged, Male",
Cursed prince (Middle-aged Male),"A middle-aged  male cursed prince with clear audio quality, yet his voice carries an underlying strain and weariness. His tone is melancholic, brooding, and sometimes tinged with anger or desperation, speaking with a refined, aristocratic accent at a slow, deliberate pace, occasionally quickening with frustration.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/17_cursed-prince.mp3,https://s3.renderplatform.com/user-assets/preview/gr_84c54abb0eea4af18d9ceeb422615ae0.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_704b7ef09e4a47a28a0618d2a39ab980.mp3,"Middle-aged, Male",
Forest dryad guardian (Senior Female),"An older female forest dryad guardian with ethereal, clear, and organic audio quality, imbued with subtle natural resonance. Her voice is soft, serene, and melodic, conveying a nurturing yet firm and ancient wisdom, delivered at a slow, flowing, and gentle pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/18_forest-dryad-guardian.mp3,https://s3.renderplatform.com/user-assets/preview/gr_c347644d53ab46fd8cd9d8a1062fadb0.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_a5b5b9867376450583bb30387bc77802.mp3,"Senior, Female",
Goblin engineer (Senior Male),"An older male goblin engineer with high-pitched, tinny, and slightly distorted audio quality. His voice is raspy, cackling, and excitable, reflecting a chaotic and eager disposition, speaking at a fast, erratic, and energetic pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/19_goblin-engineer.mp3,https://s3.renderplatform.com/user-assets/preview/gr_ad8891e7d48c49d68ded3263eba59165.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_0bca3a6e6d8c41178b50e6b2a1fec066.mp3,"Senior, Male",
Shadow court jester (Middle-aged male),"A middle-aged male shadow court jester with clear audio quality, but with a slight, unsettling echo or distortion. His voice is sarcastic, mocking, and gleeful, capable of shifting pitch and tone for comedic or sinister effect, delivered at an erratic, fast, and unpredictable theatrical pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/20_shadow-court-jester.mp3,https://s3.renderplatform.com/user-assets/preview/gr_3ecf40e1594944379d47669039119ba7.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_e3abdcb7117d42c4b442d912521e574e.mp3,"Middle-aged, male",
Breaking News Anchor (Middle-aged female),"Excellent studio-quality audio. A clear and authoritative middle-aged female breaking news anchor in her 30s or 40s, delivering urgent and factual reports with a sharp, precise tone and a neutral American accent, maintaining a swift and decisive pacing.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/01_breaking-news-anchor.mp3,https://s3.renderplatform.com/user-assets/preview/gr_eeca4d3fd2c54c9092fa466ed7d039fb.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_c823d0ac84e3461f8fd6d61d4b9ffff8.mp3,"Middle-aged, female",
Documentary Narrator (Middle-aged Male),"Impeccable studio-quality audio. A mature middle-aged male documentary narrator, likely in his 50s, possessing a deep, resonant, and calm voice that exudes authority and gravitas. His tone is informative and thoughtful, speaking at a measured, deliberate, and smooth pace with a neutral accent.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/02_documentary-narrator.mp3,https://s3.renderplatform.com/user-assets/preview/gr_3fc5ef47c3d44cefb8e31f215f22c3cb.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_35bb0958a0b944039beed71a32d60185.mp3,"Middle-aged, Male",
Sports Play-by-Play Announcer (Middle-aged Male),"Perfect studio-quality audio. An energetic middle-aged  male sports play-by-play announcer in his 30s or 40s, with a clear, quick, and enthusiastic voice, delivering high-octane commentary on a fast-paced game. His tone is vibrant and exciting, maintaining a rapid and dynamic pacing with a neutral accent.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/03_sports-play-by-play-announcer.mp3,https://s3.renderplatform.com/user-assets/preview/gr_312425ac1b4a4041a2ddad0c87066bba.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_e35a7ed54c2d49fda571c97c98d37059.mp3,"Middle-aged, Male",
Color Commentator (Middle-aged Male),"Studio-quality audio. A knowledgeable and insightful middle-aged male color commentator in his 40s or 50s, with a warm, conversational, and slightly gruff voice, offering expert analysis during a sports broadcast. He speaks at a natural, engaging pace, providing a clear and considered tone with a neutral accent.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/04_color-commentator.mp3,https://s3.renderplatform.com/user-assets/preview/gr_8d97729b713e4b739938de47a4416563.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_d2e544b8d62644ccad63afb86f801148.mp3,"Middle-aged, Male",
Business/Markets Commentator (Middle-aged Female),"Impeccable studio-quality audio. A confident middle-aged female business and markets commentator in her 40s, with a clear, intelligent, and authoritative voice. Her tone is analytical and precise, delivering information at a natural, articulate pace with a neutral accent.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/05_business-markets-commentator.mp3,https://s3.renderplatform.com/user-assets/preview/gr_2f8cf78618544c8cb5a77be7593e18f0.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_79ea2b21475542afbd5cad6eaaf5a089.mp3,"Middle-aged, Female",
Technology Explainer (Middle-aged Male),"Crystal-clear studio-quality audio. A middle-aged  male technology explainer, with an enthusiastic, clear, and engaging voice. His tone is friendly and informative, breaking down complex concepts at a brisk, articulate pace with a neutral accent.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/06_technology-explainer.mp3,https://s3.renderplatform.com/user-assets/preview/gr_b34da9cb90a5440b9abf22604a7b7a0f.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_b52692f186254519a688f73bfc768703.mp3,"Middle-aged, Male",
Science Narrator (Middle-aged Female),"Pristine studio-quality audio. A mature middle-aged female science narrator in her 40s or 50s, whose voice is clear, precise, and inspiring, conveying wonder and authority. Her tone is calm and articulate, speaking at a measured, deliberate pace with a neutral accent.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/07_science-narrator.mp3,https://s3.renderplatform.com/user-assets/preview/gr_b793755bc54a47d0a4634f33a564e6b0.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_e216a5341fb7448c91e9cfe33d67659a.mp3,"Middle-aged, Female",
Nature Narrator (Senior Male),"Sublime studio-quality audio. An older male nature narrator, perhaps in his 60s, with a rich, soothing, and reverent voice. His tone is calm and reflective, drawing listeners into the natural world with a deliberate, gentle pacing and a neutral accent.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/08_nature-narrator.mp3,https://s3.renderplatform.com/user-assets/preview/gr_6d40bce106af467695e02ffe330d9de2.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_3b38408e1a9e4a56ac431796dd3d1089.mp3,"Senior, Male",
True-Crime Narrator (Middle-aged Female),"Clean studio-quality audio. A mature middle-aged female true-crime narrator in her 40s, with a serious, calm, and somber voice. Her tone is empathetic yet chilling, delivering narratives at a deliberate, suspenseful pace with a neutral accent.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/09_true-crime-narrator.mp3,https://s3.renderplatform.com/user-assets/preview/gr_01b5db700df14347a7e4a7a50a77ed92.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_038e622567ec45f7ae5370876d6644dd.mp3,"Middle-aged, Female",
Podcast Host (Middle-aged Male),"Excellent home-studio quality audio. A middle-aged male  podcast host, with a friendly, conversational, and engaging voice. His tone is warm and approachable, speaking at a natural, varied pace, sometimes quick with excitement, often with a casual American accent.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/10_podcast-host.mp3,https://s3.renderplatform.com/user-assets/preview/gr_6cb2de9e7340411fb36e71f9b250e99c.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_fa5bb9d89d20472c8f3b1b9e5d259f28.mp3,"Middle-aged, Male",
Motivational Keynote Speaker (Middle-aged Female),"Premium live-mic quality audio. A middle-aged female motivational keynote speaker, with a powerful, enthusiastic, and inspiring voice. Her tone is confident and uplifting, delivering a dynamic message at a varied, impactful pace, with a clear, neutral accent.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/11_motivational-keynote-speaker.mp3,https://s3.renderplatform.com/user-assets/preview/gr_17622dd4996a4d4cab8727540644fc2d.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_0f0a5f7857ba45ac83be06ae37f53ede.mp3,"Middle-aged, Female",
Corporate Training Narrator (Middle-aged Male),"Professional studio-quality audio. A middle-aged male corporate training narrator, with a clear, articulate, and authoritative voice. His tone is professional and instructive, guiding learners at a calm, moderate, and consistent pace with a neutral accent.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/12_corporate-training-narrator.mp3,https://s3.renderplatform.com/user-assets/preview/gr_b2752fbfd8914a0e8abc221c91f67376.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_513af5de86dd4b47a738293f10f83274.mp3,"Middle-aged, Male",
E-Learning Instructor (Middle-aged Female),"Clear and engaging digital audio quality. A friendly middle-aged female e-learning instructor, with a bright, encouraging, and articulate voice. Her tone is patient and enthusiastic, explaining concepts at a moderate, consistent pace with a neutral accent.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/13_e-learning-instructor.mp3,https://s3.renderplatform.com/user-assets/preview/gr_58fcaa9645664b34b3d8abe48c303f2b.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_680220abebe246579daa33a493c62140.mp3,"Middle-aged, Female",
Healthcare Explainer (Middle-aged Female),"Spotless studio-quality audio. A middle-aged female healthcare explainer, with a calm, clear, and empathetic voice. Her tone is trustworthy and reassuring, delivering sensitive information at a moderate, measured pace with a neutral accent.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/14_healthcare-explainer.mp3,https://s3.renderplatform.com/user-assets/preview/gr_a9af6817853c4edf8517b4a9a313cdfc.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_4caa086e0826467490d3d044ef0c0d0d.mp3,"Middle-aged, Female",
Travel Narrator (Middle-aged Male),"Crisp and immersive field-recorded audio. A middle-aged  male travel narrator, with an enthusiastic, warm, and adventurous voice. His tone is engaging and curious, describing locations at a natural, varied pace, sometimes quick with excitement, often with a neutral accent.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/15_travel-narrator.mp3,https://s3.renderplatform.com/user-assets/preview/gr_9b74ca51bc8a46dbb965d1492fc12375.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_072e05b50a1c4648bc173ca53d566095.mp3,"Middle-aged, Male",
